user_id,artist_id
US210,AR53
US337,AR147
US298,AR454
US53,AR46
US324,AR236
US438,AR109
US477,AR136
US128,AR290
US491,AR387
US46,AR20
US256,AR172
US166,AR94
US236,AR183
US86,AR45
US292,AR469
US352,AR75
US112,AR389
US9,AR454
US467,AR91
US129,AR68
US12,AR300
US209,AR109
US398,AR333
US46,AR407
US473,AR469
US343,AR43
US439,AR435
US441,AR42
US141,AR318
US262,AR75
US356,AR413
US495,AR345
US16,AR356
US265,AR498
US101,AR380
US331,AR341
US324,AR32
US175,AR484
US158,AR400
US331,AR468
US23,AR384
US151,AR460
US302,AR90
US131,AR127
US299,AR102
US17,AR416
US104,AR22
US370,AR159
US141,AR412
US38,AR39
US106,AR352
US251,AR368
US195,AR83
US182,AR3
US231,AR251
US460,AR477
US494,AR314
US53,AR436
US498,AR301
US124,AR495
US153,AR152
US22,AR311
US77,AR66
US306,AR467
US333,AR386
US500,AR32
US40,AR324
US361,AR291
US21,AR354
US90,AR131
US179,AR37
US182,AR119
US477,AR375
US450,AR380
US136,AR55
US357,AR61
US100,AR146
US408,AR497
US193,AR95
US23,AR93
US435,AR443
US224,AR255
US109,AR468
US395,AR296
US499,AR208
US277,AR204
US397,AR199
US265,AR206
US485,AR343
US88,AR490
US476,AR56
US284,AR190
US111,AR18
US294,AR184
US141,AR380
US393,AR436
US313,AR91
US46,AR447
US280,AR301
US280,AR206
US373,AR240
US124,AR189
US101,AR414
US165,AR59
US73,AR34
US52,AR220
US257,AR19
US306,AR269
US237,AR338
US220,AR258
US352,AR85
US393,AR244
US41,AR461
US309,AR313
US249,AR229
US459,AR446
US414,AR129
US352,AR465
US64,AR175
US249,AR318
US205,AR136
US83,AR439
US275,AR245
US478,AR189
US42,AR365
US392,AR93
US106,AR379
US339,AR174
US161,AR168
US52,AR351
US208,AR403
US200,AR300
US212,AR29
US341,AR49
US42,AR300
US354,AR63
US261,AR137
US31,AR194
US221,AR267
US482,AR167
US148,AR400
US438,AR32
US226,AR235
US252,AR363
US269,AR43
US269,AR281
US154,AR12
US115,AR455
US449,AR132
US65,AR220
US389,AR499
US308,AR349
US485,AR36
US358,AR483
US56,AR122
US216,AR311
US328,AR486
US381,AR459
US110,AR120
US397,AR46
US283,AR127
US56,AR298
US187,AR194
US235,AR134
US326,AR421
US364,AR408
US359,AR4
US40,AR138
US50,AR103
US88,AR250
US270,AR78
US377,AR236
US89,AR165
US21,AR141
US101,AR242
US351,AR496
US205,AR315
US343,AR228
US28,AR325
US49,AR384
US147,AR327
US455,AR295
US46,AR416
US436,AR125
US265,AR295
US15,AR290
US282,AR483
US456,AR183
US480,AR135
US6,AR424
US131,AR39
US12,AR231
US191,AR485
US338,AR371
US345,AR416
US481,AR231
US468,AR137
US421,AR477
US257,AR55
US264,AR41
US19,AR42
US186,AR243
US91,AR424
US210,AR403
US241,AR447
US17,AR212
US421,AR322
US202,AR121
US75,AR355
US20,AR291
US6,AR327
US175,AR155
US301,AR63
US6,AR290
US61,AR343
US141,AR250
US221,AR155
US496,AR150
US69,AR79
US223,AR450
US230,AR207
US217,AR16
US281,AR259
US80,AR87
US200,AR108
US322,AR73
US247,AR325
US399,AR98
US144,AR96
US34,AR1
US262,AR80
US196,AR170
US326,AR330
US384,AR72
US8,AR106
US248,AR490
US144,AR36
US238,AR372
US127,AR399
US465,AR480
US109,AR196
US147,AR39
US104,AR284
US165,AR182
US51,AR174
US64,AR148
US457,AR450
US387,AR472
US392,AR497
US265,AR383
US397,AR500
US370,AR175
US61,AR350
US67,AR309
US452,AR207
US316,AR327
US149,AR264
US129,AR91
US378,AR342
US137,AR440
US497,AR121
US433,AR280
US457,AR243
US430,AR310
US42,AR340
US172,AR241
US271,AR117
US420,AR45
US471,AR275
US2,AR157
US348,AR357
US189,AR4
US57,AR189
US24,AR124
US417,AR365
US174,AR99
US12,AR422
US301,AR161
US423,AR92
US150,AR235
US287,AR92
US5,AR23
US367,AR354
US246,AR405
US269,AR327
US297,AR62
US120,AR372
US500,AR238
US432,AR254
US58,AR377
US62,AR189
US366,AR315
US390,AR19
US189,AR244
US21,AR478
US189,AR127
US326,AR443
US376,AR98
US296,AR129
US452,AR158
US48,AR161
US152,AR172
US333,AR135
US490,AR216
US66,AR382
US452,AR464
US97,AR14
US338,AR328
US162,AR358
US212,AR83
US223,AR302
US107,AR279
US52,AR318
US34,AR440
US104,AR355
US200,AR385
US293,AR63
US86,AR359
US396,AR353
US141,AR321
US431,AR73
US254,AR99
US30,AR63
US98,AR110
US126,AR240
US249,AR163
US361,AR78
US492,AR238
US385,AR135
US212,AR63
US282,AR186
US267,AR217
US65,AR401
US411,AR166
US401,AR254
US215,AR496
US296,AR217
US30,AR177
US3,AR189
US364,AR129
